# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC2370   (132 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,111.262,23.7865,89,223,2.17532,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,111.257,23.7831,168,161,3.97872,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,111.258,23.7907,153,298,1.14952,8.45168,3.42736e-15,6.38622e-16,0.329333,0.0604074,0.969512,0.174044,0.100497,0.0159491,0.0469663,0.00705693,0.00562042,0.00177414,0.0193187,0.00309337,0.275108,0.0449331,2.86,0.403546,0.821385,0.122167,0.0268859,0.00515881,0.399239,0.0520258,0.279206,0.0372547
4,111.252,23.7811,238,125,2.24926,8.62239,8.1232e-15,1.59272e-15,0.068187,0.0149644,0.190236,0.0364449,0.0815056,0.0143234,0.050091,0.0078253,,,0.0144606,0.00283428,0.354841,0.0563185,2.86,0.422604,1.0536,0.163041,0.0240013,0.0102362,0.408545,0.0621421,0.294013,0.0444261
5,111.259,23.7851,134,198,2.2395,8.65126,5.8241e-15,1.49858e-15,0.0376781,0.0170856,0.124692,0.0341983,0.0636631,0.0150291,0.05699,0.012967,,,0.00919783,0.0040571,0.309972,0.0628281,2.86,0.564575,0.920416,0.181116,,,0.371547,0.0729327,0.270094,0.0556914
6,111.256,23.7795,188,97,2.3363,8.61597,1.82087e-15,4.35787e-16,0.0605795,0.027034,0.222606,0.0563057,0.079337,0.0186534,0.0672719,0.0150598,,,0.0319865,0.00953379,0.389008,0.0739589,2.86,0.506931,1.15454,0.20927,,,0.423271,0.0697031,0.308747,0.0526144
7,111.256,23.7814,181,131,1.86486,8.639,5.01014e-15,6.90332e-16,0.0411804,0.0108871,0.120713,0.0196584,0.0644713,0.0107228,0.0373694,0.0080989,,,,,0.265512,0.0307668,2.86,0.276549,0.789887,0.0782978,,,0.3303,0.0423912,0.245327,0.036721
8,111.26,23.7843,117,184,2.94049,8.66301,1.20771e-14,1.94621e-15,0.0363155,0.0150657,0.121183,0.0269822,0.069344,0.0121467,0.0500151,0.00780215,,,0.0114788,0.00289508,0.338558,0.0433324,2.86,0.325789,1.00176,0.118756,,,0.358131,0.0421306,0.265656,0.0328468
9,111.259,23.7896,127,278,1.42437,8.3974,1.27333e-15,3.31738e-16,0.533082,0.136055,1.59864,0.400223,0.116687,0.0255019,0.0578856,0.0128478,,,0.0141801,0.00631123,0.250495,0.0528056,2.86,0.557556,0.746864,0.152555,0.0357419,0.0101666,0.351535,0.0635246,0.246275,0.0448759
10,111.258,23.7824,149,149,2.66314,8.64408,6.49732e-15,1.6499e-15,0.0529567,0.021793,0.132779,0.0370986,0.0745043,0.020843,0.0448455,0.0104132,,,,,0.308334,0.0621445,2.86,0.552502,0.9136,0.179686,,,0.344733,0.064173,0.249046,0.0492654
