# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC3449   (234 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,163.217,-32.9254,526,525,1.66544,8.62856,3.48957e-15,7.46214e-16,0.0606285,0.0172177,0.189224,0.0412858,0.0865856,0.0182764,0.0267467,0.00712126,,,0.00695706,0.00269985,0.374597,0.0630331,2.86,0.464395,1.11553,0.184301,0.0233743,0.00712286,0.287738,0.0480811,0.20875,0.0351799
2,163.231,-32.9336,317,378,1.5564,8.61156,2.43053e-15,7.95099e-16,0.093023,0.0323951,0.253017,0.080513,0.0853386,0.0245357,0.0295214,0.00778076,,,,,0.420871,0.107059,2.86,0.711422,1.25402,0.31364,0.0260988,0.00813112,0.38216,0.0877177,0.279715,0.0651258
3,163.224,-32.9276,433,486,1.79769,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,163.232,-32.9433,306,203,1.22791,8.49235,2.45207e-15,8.67605e-17,0.240546,0.0115117,0.711684,0.0249439,0.0889002,0.00840178,0.0514186,0.00437606,0.00955984,0.00339099,0.0136146,0.00222902,0.319689,0.0140752,2.86,0.0705044,0.954114,0.0269808,0.0261822,0.00387695,0.366283,0.012694,0.257584,0.00896362
5,163.225,-32.9318,417,410,1.68999,8.64226,2.19457e-15,4.64681e-16,0.0614052,0.0223815,0.164289,0.0379461,0.0866542,0.021076,0.033717,0.00997037,,,,,0.372887,0.0658789,2.86,0.456996,1.1103,0.191033,0.0169879,0.00541056,0.351077,0.0518999,0.244135,0.0363601
6,163.223,-32.9353,436,347,1.66415,8.62321,9.30282e-16,2.32483e-16,0.0779698,0.0314013,0.20019,0.0547658,0.0861858,0.0210699,0.0620577,0.0158021,,,0.016956,0.00717631,0.375424,0.0725661,2.86,0.528672,1.118,0.207712,,,0.376096,0.0660055,0.277437,0.0487892
7,163.235,-32.9342,259,367,2.11062,8.58035,1.0805e-15,2.65934e-16,,,0.332203,0.0899306,0.0635891,0.0249336,0.08721,0.0208638,,,0.0725978,0.0234019,0.398807,0.0719587,2.86,0.489186,1.18497,0.205344,0.0275127,0.0104098,0.484721,0.0799478,0.339358,0.0566651
8,163.232,-32.9423,309,221,1.03389,8.53957,1.15405e-15,2.69222e-16,0.148028,0.0367956,0.381101,0.0867431,0.106911,0.0216103,0.0491294,0.0103736,,,0.00793611,0.0033644,0.291065,0.0545476,2.86,0.511831,0.869532,0.157384,0.0220573,0.00650743,0.386842,0.0638412,0.267007,0.0443501
9,163.215,-32.9226,561,576,1.72734,8.62204,9.05528e-16,2.50554e-16,0.097958,0.0443915,0.211932,0.0669476,0.107734,0.0286018,0.072995,0.0194304,,,,,0.392853,0.0815478,2.86,0.546984,1.16953,0.226092,,,0.424463,0.0833678,0.292781,0.0541865
10,163.236,-32.9399,243,264,1.6141,8.5429,9.39482e-16,2.99205e-16,0.130755,0.049026,0.440204,0.137368,0.100819,0.0283197,0.0565397,0.0162721,,,,,0.349922,0.0859527,2.86,0.689677,1.04231,0.249394,0.0185961,0.00764588,0.361745,0.0784492,0.244826,0.0536169
11,163.22,-32.9213,490,598,1.89776,8.63053,1.60815e-15,2.70974e-16,0.0681498,0.0227287,0.208472,0.0388799,0.0637945,0.0132151,0.0485067,0.0100933,,,0.0183598,0.0058878,0.421441,0.0570089,2.86,0.358048,1.25356,0.159796,,,0.449922,0.0545878,0.318352,0.0378403
12,163.235,-32.9384,254,291,1.52064,8.61726,7.43893e-16,1.2474e-16,0.0890172,0.0359347,0.190906,0.0457886,0.0559325,0.0166219,0.0684139,0.011701,,,0.0402261,0.0150414,0.336669,0.043422,2.86,0.319083,1.00331,0.112907,,,0.460159,0.0506976,0.322734,0.036102
13,163.212,-32.9154,604,705,1.9657,8.5677,1.26211e-15,2.83855e-16,0.125653,0.0386498,0.332815,0.0758834,0.0792164,0.0184353,0.0523899,0.0119405,,,,,0.348231,0.0617708,2.86,0.46756,1.03545,0.17705,,,0.452621,0.0821922,0.304228,0.0518701
14,163.215,-32.9177,569,664,1.12235,8.5948,4.54136e-16,9.99509e-17,0.10751,0.0359885,0.279991,0.0651593,0.100967,0.0221749,0.0374039,0.0115918,,,,,0.3901,0.069054,2.86,0.466435,1.16487,0.198019,,,0.458301,0.0673594,0.303522,0.0448661
15,163.23,-32.9345,331,361,1.69861,8.66206,8.43974e-16,2.39055e-16,0.0924703,0.0430047,0.141179,0.0492894,0.0772091,0.0234492,0.0829343,0.0197031,,,,,0.388442,0.0847652,2.86,0.60609,1.15656,0.24569,,,0.495148,0.094218,0.34231,0.0651375
16,163.222,-32.9284,464,470,1.57171,,4.779e-16,1.82789e-16,,,,,,,0.0647188,0.0253311,,,,,0.352473,0.101623,2.86,0.764633,1.05014,0.28851,,,0.497265,0.128963,0.374068,0.0953099
17,163.224,-32.9319,431,407,1.97399,,1.31692e-15,4.86336e-16,,,,,,,0.0446641,0.0160925,,,,,0.387287,0.107004,2.86,0.747345,1.15153,0.306813,,,0.398475,0.0971,0.285823,0.0692122
18,163.211,-32.9109,624,786,1.18714,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,163.225,-32.9323,404,400,1.91952,8.62182,1.54743e-15,2.75251e-16,0.0771245,0.032402,0.235673,0.0494482,0.09333,0.0280292,0.0439543,0.00986974,,,,,0.436306,0.0603929,2.86,0.369399,1.29763,0.16934,,,0.433834,0.0536071,0.331381,0.0406336
20,163.214,-32.911,570,784,0.973668,8.51472,3.35914e-16,1.22619e-16,0.239077,0.0999774,0.581709,0.209402,0.0983533,0.0352163,,,,,,,0.336102,0.0962203,2.86,0.75081,1.00438,0.27669,,,0.415987,0.0995605,0.303428,0.0723209
21,163.22,-32.9262,485,510,1.89671,8.64515,2.47328e-15,5.78662e-16,0.104316,0.0376192,0.150086,0.044065,0.0921875,0.0372224,0.0603191,0.0167668,,,,,0.350858,0.0681348,2.86,0.496459,1.04362,0.188903,,,0.409371,0.0670922,0.295243,0.0483752
22,163.232,-32.9364,300,327,1.76251,8.61592,7.25833e-16,1.54885e-16,0.117175,0.0437368,0.241255,0.0603316,0.0691886,0.0211282,,,,,,,0.420169,0.0647313,2.86,0.424299,1.25063,0.185565,,,0.459644,0.0671548,0.315808,0.0462591
23,163.236,-32.9387,244,286,1.04328,8.55129,3.46302e-16,1.0624e-16,0.121673,0.0625887,0.445768,0.140372,0.0974601,0.0315308,0.0813304,0.0251543,,,,,0.387768,0.0886509,2.86,0.61349,1.15837,0.255352,,,0.503255,0.105104,0.340272,0.0724974
24,163.233,-32.9464,283,147,1.49377,8.47942,5.15771e-16,1.63217e-16,0.258865,0.0933495,0.810056,0.247135,0.119119,0.0359999,0.0603983,0.0243997,,,0.0457697,0.019886,0.31475,0.0727935,2.86,0.63929,0.938118,0.209404,,,0.351815,0.0757365,0.238497,0.0515668
25,163.22,-32.9181,486,656,1.92226,8.58194,6.63663e-16,1.9961e-16,,,0.293243,0.0975695,0.0948826,0.0388946,0.0638194,0.0207294,,,,,0.357752,0.0792099,2.86,0.598457,1.06399,0.228206,,,0.373813,0.0759131,0.276797,0.0566445
26,163.22,-32.9302,491,438,1.52071,8.62526,7.29293e-16,1.81914e-16,,,0.189294,0.065348,0.103471,0.0359233,,,,,,,0.362176,0.0657042,2.86,0.490527,1.07933,0.183551,,,0.515313,0.0842396,0.347482,0.0572168
27,163.226,-32.9363,397,329,1.83678,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,163.212,-32.9141,607,728,1.87874,8.63281,5.7312e-16,1.53126e-16,,,0.179622,0.0680193,0.065453,0.0253505,,,0.0907957,0.0279214,,,0.371481,0.0696055,2.86,0.505062,1.10506,0.198498,,,0.493829,0.0868388,0.321615,0.0565443
29,163.22,-32.9249,492,533,2.84441,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,163.226,-32.9394,394,273,1.41635,8.58097,1.29049e-15,1.78852e-16,0.0996498,0.02162,0.306526,0.0439227,0.0897696,0.0133528,0.0593582,0.00889769,,,0.0157631,0.00528723,0.369143,0.0434973,2.86,0.293765,1.10066,0.113755,0.0220117,0.00681734,0.51243,0.0499812,0.355657,0.0347709
31,163.226,-32.9334,400,380,1.6238,8.57489,7.4848e-16,2.29094e-16,0.13193,0.0553798,0.353071,0.111318,0.0876818,0.0320783,,,,,0.0161615,0.00765166,0.398676,0.094423,2.86,0.62885,1.18748,0.270886,,,0.437848,0.0900099,0.318582,0.0648914
32,163.224,-32.9248,432,535,1.54991,8.59069,1.31666e-15,4.28542e-16,,,0.282458,0.098332,,,0.0456162,0.0169522,,,,,0.377609,0.0910736,2.86,0.679173,1.12515,0.265936,0.0271221,0.0112248,0.37606,0.0816088,0.259019,0.0567413
34,163.218,-32.9232,511,565,1.54935,8.65651,8.86507e-16,2.50259e-16,,,0.149322,0.0595848,,,0.0554287,0.0184489,,,,,0.38921,0.0838769,2.86,0.581934,1.15972,0.236838,,,0.471548,0.0906706,0.340328,0.0664087
35,163.216,-32.9131,544,747,0.910473,,2.29454e-16,8.62463e-17,,,,,0.0311797,0.0160549,,,,,0.0589332,0.0278125,0.289167,0.0855553,2.86,0.727063,0.8644,0.223248,,,0.387783,0.0931281,0.276507,0.0702798
36,163.225,-32.9384,408,291,1.44415,8.51379,9.73035e-16,2.03338e-16,0.178401,0.0440422,0.583251,0.118292,0.0898958,0.0198374,,,,,0.0300331,0.0121959,0.334241,0.055665,2.86,0.43894,0.996458,0.157105,,,0.415383,0.0590848,0.295575,0.0430809
37,163.228,-32.9411,361,243,1.42387,8.55774,5.50305e-16,1.69287e-16,0.131922,0.0559388,0.376694,0.117724,0.0970685,0.0341637,,,,,0.0321386,0.0145172,0.352478,0.0835875,2.86,0.650051,1.05094,0.237449,,,0.418779,0.0858278,0.29388,0.0624256
38,163.235,-32.936,255,334,1.78951,8.59929,8.06365e-16,2.79007e-16,0.113657,0.0561828,0.265177,0.0969562,0.0835059,0.0286573,0.0643788,0.0227382,,,,,0.388663,0.0999624,2.86,0.719757,1.15669,0.290052,,,0.561064,0.12961,0.371297,0.0862196
39,163.226,-32.9276,389,485,1.7626,8.59269,1.53411e-15,2.6308e-16,0.122797,0.0411109,0.303229,0.0613321,,,0.0502804,0.0145357,,,,,0.414493,0.0572874,2.86,0.33774,1.23373,0.15392,,,0.419715,0.0492697,0.311242,0.0366704
40,163.232,-32.9392,311,276,1.55059,8.61068,6.07233e-16,1.08385e-16,,,0.226731,0.0504142,0.105393,0.0288561,0.0482331,0.0121655,,,,,0.373748,0.0513498,2.86,0.358279,1.11364,0.142461,,,0.492857,0.0629234,0.348154,0.0451833
41,163.235,-32.9366,258,324,1.79769,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,163.226,-32.9351,402,350,2.00224,8.58499,6.88777e-16,1.97699e-16,,,0.323734,0.105382,0.107297,0.0388305,,,,,,,0.408213,0.0867223,2.86,0.56571,1.21358,0.239808,,,0.388131,0.0730062,0.266358,0.051674
43,163.226,-32.9346,389,359,1.20034,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,163.229,-32.9349,357,353,1.93253,,4.55081e-16,1.40906e-16,,,,,0.111314,0.0405637,0.106194,0.0307258,,,,,0.392019,0.0879392,2.86,0.603183,1.16584,0.250604,,,0.51407,0.102337,0.360046,0.0745368
45,163.235,-32.9369,259,317,1.31702,,,,,,,,,,,,,,,,,,,,,,,,,,,
