# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC3456   (182 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,163.514,-16.0277,108,136,1.01672,8.70028,1.13953e-14,3.63256e-15,,,0.112638,0.0393638,0.0432092,0.0171869,0.0403991,0.0115665,,,,,0.440027,0.121434,2.86,0.695978,1.31466,0.32731,,,0.267337,0.0575104,0.281305,0.0602714
2,163.503,-16.0285,297,121,0.902018,8.39875,7.4512e-15,1.97328e-15,0.38731,0.100022,1.18064,0.300192,0.103687,0.0223115,0.0386273,0.00838435,0.00826288,0.00325477,0.0132072,0.00302252,0.187196,0.0420672,2.86,0.5798,0.559603,0.118607,0.0279513,0.00833694,0.344159,0.0763036,0.242596,0.0565854
3,163.519,-16.025,21,185,1.62253,8.5646,1.19173e-14,2.81466e-15,0.0970784,0.0229075,0.299426,0.0681023,0.0813426,0.0153346,0.0417808,0.00785453,,,0.0152446,0.00312525,0.302356,0.0577149,2.86,0.51824,0.900593,0.16193,0.0231748,0.00525253,0.407451,0.0669075,0.292745,0.0480978
4,163.514,-16.0339,113,24,1.27061,8.45618,5.33532e-15,1.34091e-15,0.269786,0.0664692,0.805424,0.194912,0.0941647,0.0202789,0.0477445,0.0112952,,,0.0142392,0.00334346,0.24053,0.0460005,2.86,0.516561,0.717709,0.131016,0.0281613,0.00592457,0.351715,0.060254,0.248568,0.0427523
5,163.516,-16.024,75,202,2.02887,8.63535,8.41955e-15,1.66077e-15,0.0499877,0.0125731,0.144619,0.0288645,0.0654434,0.0110385,0.0427849,0.00853563,,,0.0128678,0.00304271,0.307026,0.0468918,2.86,0.416533,0.912634,0.135563,0.0169642,0.00529693,0.365296,0.0544684,0.262473,0.0372505
6,163.51,-16.0242,180,199,1.48607,8.54475,8.09887e-15,1.85314e-15,0.119357,0.0274765,0.364391,0.0803313,0.0896576,0.0167403,0.0411682,0.00791295,,,0.0144265,0.00313413,0.295471,0.0595874,2.86,0.503986,0.880689,0.171867,0.0240428,0.0047621,0.388228,0.0604808,0.279406,0.0436435
7,163.52,-16.0264,11,159,1.86418,8.59895,5.26366e-15,1.36577e-15,0.0739795,0.0269768,0.203293,0.0551387,0.066605,0.0177543,,,,,0.0160562,0.00617596,0.297019,0.0584491,2.86,0.537057,0.883621,0.166197,0.0217154,0.00614192,0.372123,0.0632591,0.265614,0.0455009
8,163.516,-16.0291,74,110,2.21277,8.68277,1.90748e-14,2.19225e-15,0.0244983,0.00790249,0.0765106,0.0112365,0.0442607,0.00589612,0.0293844,0.00526623,,,,,0.256407,0.0312036,2.86,0.252375,0.761465,0.0717279,0.00966818,0.00317457,0.24662,0.022771,0.181202,0.0170151
9,163.514,-16.0332,100,37,1.69584,8.53056,4.99033e-15,1.39019e-15,0.142384,0.0396509,0.416326,0.111903,0.0846283,0.0193783,0.0572311,0.014539,,,0.0218517,0.00531026,0.288485,0.0639422,2.86,0.614841,0.858959,0.185253,0.0240564,0.0076682,0.385857,0.0870589,0.276543,0.0640184
10,163.51,-16.0332,181,36,1.66795,8.51849,6.61349e-15,1.36654e-15,0.152366,0.0318381,0.443543,0.088541,0.0804884,0.0137624,0.0548627,0.0104053,,,0.0212049,0.00446519,0.268317,0.0452464,2.86,0.456291,0.799022,0.130106,0.020078,0.00605148,0.437977,0.0710224,0.307329,0.048239
