# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC2906   (129 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
2,143.032,8.44501,49,225,0.888115,8.59546,4.19587e-15,7.25498e-16,0.13076,0.0509339,0.311135,0.0682493,0.0859895,0.0152334,0.0366175,0.012754,,,,,0.436025,0.0545156,2.86,0.326295,1.30354,0.151336,0.0227322,0.00705872,0.369264,0.0441659,0.262009,0.0336417
3,143.029,8.44612,104,245,0.442616,8.59955,2.1099e-15,5.35324e-16,,,0.294042,0.0937375,0.0812406,0.0219831,,,,,,,0.429216,0.0796062,2.86,0.485163,1.28607,0.223589,0.0209255,0.00764439,0.275162,0.0523378,0.197418,0.0391261
4,143.03,8.44312,88,191,0.900559,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,143.025,8.44468,180,219,0.708887,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,143.022,8.4424,234,178,1.01884,,3.75528e-15,1.28447e-15,,,,,,,,,,,,,0.323196,0.0797843,2.86,0.655446,0.965595,0.223715,,,0.32779,0.0704586,0.23725,0.051268
7,143.023,8.43745,220,89,0.0925219,,1.16861e-15,4.65467e-16,0.303028,0.167238,,,0.0623472,0.0253031,,,,,,,0.434748,0.119002,2.86,0.695186,1.30494,0.325766,0.0296526,0.0132985,0.438164,0.104436,0.312354,0.0760104
8,143.021,8.43973,246,130,0.436974,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,143.023,8.43868,212,111,0.145916,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,143.033,8.44218,35,174,0.552045,8.63,7.4867e-15,1.52251e-15,,,0.174214,0.0512698,0.0839028,0.016796,0.0313016,0.00961227,,,,,0.347957,0.0525038,2.86,0.397006,1.04202,0.146315,0.0242515,0.00682299,0.369213,0.0523676,0.2555,0.0353552
11,143.02,8.44373,260,202,0.731322,,2.6933e-15,9.8158e-16,,,,,0.0536877,0.0247144,,,,,,,0.435328,0.114531,2.86,0.708285,1.30249,0.327749,0.0181095,0.00885195,0.469503,0.108051,0.33058,0.076835
12,143.021,8.44062,244,146,1.06999,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,143.022,8.44418,238,210,0.188674,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,143.026,8.44506,165,226,0.346321,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,143.02,8.4384,258,106,0.866633,8.61742,3.65304e-15,9.88128e-16,0.140181,0.0693459,0.237967,0.0856567,0.0682332,0.0204373,,,,,,,0.41898,0.0836754,2.86,0.512994,1.25272,0.233458,0.019241,0.00734345,0.445994,0.0765076,0.31565,0.054722
17,143.028,8.44462,121,218,0.537319,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,143.03,8.44068,81,147,1.03885,,3.53957e-15,1.17472e-15,,,,,0.0609258,0.0232874,0.0738602,0.0321567,,,,,0.369163,0.0858058,2.86,0.610146,1.10282,0.23663,,,0.352423,0.073249,0.262467,0.054313
20,143.024,8.43923,196,121,0.433141,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,143.03,8.44062,93,146,0.980231,,4.03716e-15,1.37127e-15,,,,,0.0728307,0.0249815,,,0.068979,0.025777,,,0.351981,0.0842567,2.86,0.634703,1.0518,0.236584,,,0.382532,0.0871155,0.280901,0.0637215
23,143.027,8.44618,140,246,0.500058,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,143.021,8.43756,256,91,0.500058,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,143.027,8.44356,136,199,0.500058,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,143.022,8.43956,223,127,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,143.027,8.43956,135,127,0.316778,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,143.021,8.44012,242,137,0.509905,,,,,,,,,,,,,,,,,,,,,,,,,,,
