# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: MCG-01-04-025   (116 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,19.6814,-7.44463,163,257,0.955512,8.34949,4.08948e-15,9.54791e-16,0.51934,0.119099,1.55067,0.35064,0.109352,0.0205278,0.020952,0.00377215,0.00924842,0.00170866,0.00558467,0.00140959,0.147636,0.0298212,2.86,0.507195,0.441225,0.0821409,0.0305394,0.0069394,0.221978,0.0353745,0.180158,0.0292184
2,19.6756,-7.44651,267,223,0.916902,8.48065,1.08731e-15,1.52351e-16,0.193685,0.0283131,0.599771,0.0815931,0.0989325,0.0141067,0.0374054,0.00486627,0.00836227,0.00207198,0.01397,0.00326765,0.235618,0.0263485,2.86,0.292914,0.704303,0.0728598,0.0303155,0.00963859,0.365919,0.0382333,0.281957,0.032761
3,19.682,-7.4554,152,63,0.863322,8.43765,1.05318e-15,1.6623e-16,0.294744,0.0471707,0.874101,0.13254,0.0938089,0.0167537,0.0382283,0.00664667,0.0077353,0.00246989,0.00689744,0.00216622,0.21181,0.0293656,2.86,0.337705,0.633309,0.0771406,0.0266981,0.00750429,0.388783,0.0465979,0.28448,0.0330279
4,19.679,-7.4459,206,234,0.784561,8.49654,9.00498e-16,3.00017e-16,0.16686,0.0550915,0.517133,0.163498,0.0921509,0.024378,0.028405,0.00715137,,,,,0.243032,0.0608975,2.86,0.681384,0.726948,0.177543,0.0254969,0.0107725,0.373168,0.0821206,0.290022,0.0661045
5,19.6833,-7.44874,130,183,1.21797,8.4616,1.94524e-15,2.96951e-16,0.229064,0.0355675,0.686767,0.102806,0.0925473,0.012607,0.0483959,0.00592716,0.00545513,0.00223776,0.0168078,0.00337119,0.217911,0.0284505,2.86,0.332843,0.650388,0.0817578,,,0.417039,0.0536425,0.316883,0.03653
6,19.6828,-7.45263,138,113,1.1866,8.44173,1.10388e-15,1.21985e-16,0.284579,0.0330267,0.825142,0.0875411,0.0905255,0.0111803,0.0675666,0.00706243,,,0.0246446,0.00750329,0.209563,0.0195932,2.86,0.219533,0.625573,0.0509217,,,0.493081,0.039528,0.371395,0.0305507
7,19.6776,-7.44974,231,165,1.5028,8.58151,1.20384e-15,2.36283e-16,,,0.303086,0.0639809,0.284893,0.116873,0.0651532,0.0136675,,,,,0.36729,0.0618965,2.86,0.413721,1.09466,0.163633,,,0.563869,0.104772,0.449596,0.0894477
8,19.676,-7.4444,259,261,0.853472,8.46249,6.13677e-17,1.4589e-17,0.269983,0.0695176,0.771717,0.17985,0.108126,0.0317294,0.0797739,0.021048,,,,,0.246884,0.0471221,2.86,0.508392,0.738217,0.131733,,,0.46844,0.0791489,0.359342,0.0632353
9,19.6844,-7.45085,109,145,1.12972,8.42822,7.8309e-16,1.49658e-16,0.315737,0.0612436,0.952265,0.174973,0.0942647,0.0169131,0.0773669,0.0129045,,,0.0309507,0.00770125,0.208182,0.043022,2.86,0.410593,0.621627,0.0980438,,,0.492512,0.072864,0.357487,0.0577992
10,19.6765,-7.44868,251,184,0.96839,8.6385,5.43337e-16,6.87259e-17,,,0.118201,0.0229008,0.0698073,0.0152911,0.0491273,0.00819222,,,0.0290429,0.00764284,0.25754,0.0270335,2.86,0.267504,0.769633,0.0747883,,,0.467478,0.0462996,0.344303,0.0379879
