# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: ESO534-G024   (151 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,341.307,-22.7364,207,79,0.554493,8.3187,3.60132e-15,3.85502e-16,0.759031,0.0790562,2.24575,0.229165,0.114446,0.0138781,0.0519643,0.00554766,0.0109298,0.00241395,0.0250864,0.00336565,0.157973,0.0223917,2.86,0.207131,0.473072,0.0420515,0.0306184,0.0039193,0.325733,0.0240787,0.234795,0.0172545
2,341.312,-22.7367,124,75,0.945611,8.44978,1.77795e-15,3.0065e-16,0.266717,0.0480775,0.819667,0.129963,0.0883665,0.0231193,,,0.0490242,0.00807106,0.0556517,0.017948,0.227477,0.0291118,2.86,0.320182,0.67987,0.0775641,0.0230448,0.00859285,0.427201,0.0530495,0.293571,0.039786
3,341.302,-22.7284,290,224,0.416353,8.49351,1.24281e-15,2.11264e-16,0.153291,0.0315058,0.506011,0.0847094,0.0766468,0.0185336,0.0414179,0.00874485,,,0.027521,0.0109483,0.229353,0.0345749,2.86,0.367614,0.687306,0.0903546,0.0238558,0.00829806,0.462886,0.056423,0.323646,0.0389983
4,341.308,-22.7365,194,77,0.466685,8.41138,1.13537e-15,1.50082e-16,0.343417,0.0489393,1.07123,0.13662,0.0933691,0.018768,0.0444359,0.00782974,,,0.0368976,0.00873757,0.194183,0.0247449,2.86,0.278349,0.581764,0.0624405,0.027422,0.00793758,0.484085,0.0442038,0.331409,0.0309006
5,341.311,-22.7279,137,232,0.65914,8.62862,1.37046e-15,2.35018e-16,,,0.156879,0.0349748,,,0.0152343,0.00648788,,,0.0547232,0.021921,0.309189,0.0437336,2.86,0.359215,0.92542,0.117434,,,0.405973,0.0478858,0.278358,0.0334896
6,341.301,-22.7274,298,242,0.521917,8.46918,1.14219e-15,1.83872e-16,0.197193,0.0389604,0.636718,0.100358,0.0783007,0.0189615,0.0431341,0.00782953,,,0.0338426,0.00913626,0.219297,0.0351266,2.86,0.345079,0.656823,0.0839127,0.0224097,0.00761213,0.475082,0.0592647,0.328,0.0420744
7,341.311,-22.726,132,266,1.02684,8.51639,2.17453e-15,5.87856e-16,0.13309,0.0417755,0.452106,0.120094,0.0889866,0.026774,0.0369826,0.00951765,,,0.0271876,0.0111406,0.266241,0.0642602,2.86,0.571213,0.795402,0.162901,0.0217287,0.00754947,0.403681,0.0731983,0.282528,0.0509416
8,341.309,-22.7262,170,264,0.514806,8.51247,6.92127e-16,1.79268e-16,0.131058,0.0475792,0.4761,0.122802,,,0.048176,0.0150054,,,0.0639248,0.0229788,0.267547,0.0544979,2.86,0.545257,0.801366,0.150185,,,0.495169,0.085449,0.34594,0.060556
9,341.308,-22.7317,193,165,0.562982,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,341.316,-22.738,48,50,0.713151,8.38512,7.71541e-16,1.81567e-16,0.442849,0.105681,1.38648,0.311064,0.111779,0.0402667,0.0335075,0.0118475,,,0.0412807,0.0140886,0.190072,0.0386165,2.86,0.494958,0.568743,0.104074,,,0.399485,0.0661985,0.289075,0.0480273
11,341.311,-22.7307,139,182,1.85633,,2.65395e-15,9.37428e-16,,,,,,,0.0354196,0.0125486,,,,,0.303688,0.0936804,2.86,0.735898,0.903498,0.246696,,,0.35017,0.0838006,0.268103,0.0640064
12,341.301,-22.7298,299,199,0.547779,8.30644,6.12028e-16,1.58273e-16,0.709512,0.180003,2.24878,0.547027,0.086649,0.0327309,0.0425891,0.0124719,,,0.0456159,0.0176544,0.140903,0.0330946,2.86,0.528961,0.421967,0.0839323,0.033573,0.0134033,0.32475,0.0575205,0.236522,0.0446335
13,341.318,-22.7275,17,240,0.632347,8.44242,9.00962e-16,1.88713e-16,0.265364,0.0618025,0.794614,0.161424,0.0737724,0.0234704,,,0.043208,0.0118871,0.0462617,0.018991,0.202812,0.0382059,2.86,0.438863,0.607109,0.0991595,0.023753,0.0101005,0.367896,0.0537616,0.26166,0.0379158
14,341.315,-22.7334,77,133,0.834927,8.53138,8.43953e-16,2.36288e-16,0.111503,0.0484575,0.41431,0.116927,0.102895,0.0375785,,,,,,,0.288489,0.0648064,2.86,0.593783,0.8627,0.181511,,,0.322152,0.0621722,0.22583,0.0442645
15,341.313,-22.7349,105,107,0.554638,8.51623,3.29719e-15,4.9441e-16,0.147228,0.0251694,0.437419,0.0644945,0.0872137,0.0148161,0.032104,0.00579208,,,0.0241705,0.0066086,0.256517,0.0329465,2.86,0.323077,0.768175,0.0898197,0.0194515,0.0053503,0.462373,0.0486098,0.32659,0.0350122
16,341.307,-22.7263,201,261,0.363311,8.52165,9.36784e-16,2.52581e-16,0.138331,0.0472087,0.438709,0.117589,0.0779585,0.0263255,0.0585294,0.0152205,,,0.0342106,0.0125542,0.273222,0.0621876,2.86,0.570305,0.818989,0.172608,,,0.566461,0.101411,0.390848,0.0704691
17,341.304,-22.7262,261,263,0.574262,8.42389,6.3096e-16,2.05407e-16,0.285964,0.102394,0.976039,0.305164,0.0948612,0.0468331,,,,,,,0.202895,0.0568304,2.86,0.681406,0.607535,0.14821,,,0.328941,0.0726253,0.21825,0.0493235
18,341.319,-22.7345,9,114,0.653682,8.50323,7.9765e-16,1.85977e-16,0.125613,0.0544449,0.476497,0.114312,,,0.0679364,0.0241071,,,,,0.241405,0.0480756,2.86,0.481355,0.722558,0.127963,,,0.506924,0.0977678,0.351544,0.0639702
19,341.316,-22.7337,61,129,0.78756,8.55618,1.00614e-15,2.08533e-16,0.0920417,0.0366487,0.325904,0.0724251,0.0689577,0.0256526,0.0484371,0.0156911,,,0.062786,0.0234788,0.298827,0.0512136,2.86,0.436478,0.893827,0.141073,,,0.429081,0.0608926,0.301882,0.0437587
20,341.31,-22.7234,157,314,0.884954,8.45344,1.14816e-15,3.68049e-16,0.322015,0.120021,0.803774,0.250545,,,,,,,0.101104,0.0447999,0.232329,0.058874,2.86,0.621524,0.694585,0.155606,,,0.562601,0.122898,0.404398,0.0870175
21,341.308,-22.7268,194,252,0.450343,8.51781,7.35828e-16,1.89255e-16,0.121506,0.0471417,0.459775,0.11687,0.06449,0.0246012,0.0477756,0.0127476,,,0.0444446,0.0156992,0.27434,0.0537952,2.86,0.509134,0.821978,0.149801,,,0.456079,0.0778066,0.319837,0.055742
22,341.306,-22.7362,226,84,0.614444,8.41301,1.05527e-15,2.58463e-16,0.386397,0.0967002,1.12454,0.263997,0.0839349,0.0269351,0.065322,0.0158679,0.0192424,0.0082184,0.0411565,0.0124035,0.207632,0.0426647,2.86,0.524065,0.621596,0.116681,0.0277809,0.00987285,0.537252,0.0881224,0.378737,0.0623243
