# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: ESO298-28   (245 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,34.9026,-37.8077,264,475,0.399005,8.40828,6.80014e-16,2.60963e-16,0.440307,0.164103,1.34489,0.492195,0.100438,0.0304136,0.0569483,0.0170893,,,0.0193503,0.00838367,0.235644,0.0704875,2.86,0.824353,0.706221,0.208096,0.0296405,0.00987458,0.37802,0.0937883,0.268895,0.0666114
2,34.9017,-37.8285,277,100,0.856371,8.57009,7.2481e-16,2.07425e-16,0.090345,0.0284684,0.330154,0.0905862,0.0900889,0.0216132,0.0394981,0.0102771,,,,,0.352566,0.0760268,2.86,0.57561,1.0542,0.221662,0.0243029,0.0094129,0.365749,0.0678929,0.251364,0.0478718
3,34.913,-37.809,116,451,0.85011,8.5829,5.71016e-16,9.06281e-17,0.119912,0.0234974,0.287903,0.0458116,0.0815955,0.0120931,0.0649526,0.0115239,,,,,0.352975,0.0418612,2.86,0.321132,1.05546,0.119829,0.030047,0.0122354,0.461328,0.0504364,0.322061,0.0359432
4,34.8953,-37.8315,368,47,0.807588,8.42027,7.2914e-16,2.1918e-16,0.435174,0.127819,1.29819,0.374201,0.103387,0.027618,0.0551422,0.0129153,,,0.0192381,0.00609315,0.259669,0.060244,2.86,0.638994,0.776625,0.175828,0.0241372,0.00870613,0.429741,0.09371,0.289988,0.0639687
5,34.9089,-37.8057,175,511,1.05604,8.39493,5.09856e-16,1.11514e-16,0.515988,0.111661,1.48526,0.308338,0.129487,0.0294765,0.0810553,0.0207401,,,0.0219553,0.00916248,0.226265,0.0402019,2.86,0.450043,0.675874,0.109716,,,0.320473,0.0642934,0.227997,0.043503
6,34.9035,-37.8168,252,311,1.3139,8.61006,5.60968e-16,1.04671e-16,0.0453847,0.019689,0.213286,0.0424306,0.0782886,0.0170855,0.0569712,0.0154473,,,,,0.348908,0.0496611,2.86,0.380264,1.04087,0.139862,,,0.417838,0.0617294,0.294589,0.0507961
7,34.916,-37.8156,74,333,0.954966,8.55875,4.88098e-16,1.49457e-16,0.102203,0.0355765,0.342366,0.10304,0.0904975,0.025864,,,0.050099,0.0167469,,,0.323171,0.0790095,2.86,0.670482,0.965831,0.23007,0.0275108,0.0122944,0.371877,0.080062,0.25246,0.0554572
8,34.9021,-37.8195,272,263,1.24132,,1.6651e-16,5.77313e-17,,,,,0.0652299,0.0216008,0.0624328,0.0228218,,,,,0.34453,0.0923402,2.86,0.730723,1.02818,0.259985,,,0.403045,0.101306,0.26984,0.0706906
9,34.9167,-37.8053,64,517,1.24582,8.41222,2.58438e-16,5.76049e-17,0.475488,0.125638,1.21768,0.257902,0.118548,0.0348753,,,0.114832,0.0294552,,,0.223621,0.0415324,2.86,0.425351,0.667338,0.100875,,,0.441709,0.0762398,0.296457,0.0611856
10,34.9117,-37.8148,135,346,1.20389,8.64273,4.82238e-16,1.74679e-16,,,0.169856,0.0644651,0.0642131,0.0226227,0.0606787,0.0179288,,,,,0.38638,0.109799,2.86,0.764859,1.15329,0.321055,,,0.462911,0.114769,0.323455,0.0833367
