# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC6975   (150 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,313.111,-5.76943,126,208,1.07875,8.59195,1.47358e-15,3.15203e-16,0.0712866,0.016922,0.223874,0.0467769,0.0808084,0.0155073,0.0411918,0.00750922,,,0.0118922,0.00420605,0.302597,0.0521968,2.86,0.470308,0.903779,0.150717,0.0186471,0.00596589,0.406887,0.0592126,0.310316,0.0455764
2,313.111,-5.77337,114,137,1.04932,8.58995,1.19407e-15,2.95841e-16,0.0610746,0.0174906,0.227117,0.0546104,0.0803156,0.0168022,0.0525556,0.0114602,,,0.0428337,0.0186197,0.300486,0.0574762,2.86,0.514187,0.897609,0.167196,,,0.449862,0.0737908,0.325275,0.053467
3,313.104,-5.77154,234,170,1.23593,8.56038,1.00033e-15,2.46578e-16,0.0933279,0.0257636,0.319422,0.0773216,0.0776462,0.0198324,0.0422642,0.0099048,,,0.0203119,0.00836571,0.307392,0.0587883,2.86,0.524639,0.917374,0.172309,,,0.38786,0.0649421,0.312784,0.0534058
4,313.111,-5.77448,126,117,1.32474,8.61256,1.67331e-15,2.49894e-16,0.0618226,0.013328,0.186021,0.0288537,0.0733169,0.0115336,0.0429953,0.0069441,,,,,0.312292,0.0400916,2.86,0.321585,0.931584,0.107995,,,0.444253,0.0474156,0.3241,0.0361706
5,313.114,-5.77632,68,84,0.87829,8.45119,6.45107e-16,8.06152e-17,0.255549,0.0329851,0.781099,0.0945801,0.0986935,0.01209,0.0502172,0.00799636,,,,,0.220132,0.0235037,2.86,0.256518,0.658142,0.0628241,,,0.424277,0.0445059,0.319721,0.0310452
6,313.104,-5.76976,235,202,1.2731,8.52245,1.40459e-15,1.19155e-16,0.158819,0.016573,0.429914,0.037689,0.0811582,0.0091469,0.0581278,0.00735033,,,0.0162865,0.0051433,0.271385,0.021585,2.86,0.174513,0.809766,0.0565856,0.0268635,0.00723905,0.480332,0.0340772,0.374017,0.0282448
7,313.109,-5.7732,148,140,1.84569,8.66631,3.38178e-15,6.03868e-16,,,0.0981695,0.020016,0.0601839,0.0120744,0.0442253,0.00775084,,,0.0151092,0.00406663,0.281455,0.0475393,2.86,0.39112,0.837396,0.126965,,,0.325288,0.0410041,0.246067,0.0306384
8,313.105,-5.77404,217,125,1.22588,8.57892,1.18283e-15,3.31047e-16,0.0842727,0.0264375,0.242178,0.0662575,0.0729858,0.0181358,0.0536454,0.0122423,,,0.0182653,0.0060343,0.285042,0.0688422,2.86,0.615334,0.850718,0.19068,,,0.474679,0.0899108,0.363678,0.0690762
9,313.105,-5.77137,222,173,0.270459,8.58837,5.07944e-17,1.17339e-17,,,0.243272,0.0673027,0.172496,0.0714609,,,0.106512,0.0416826,,,0.31528,0.0602866,2.86,0.461894,0.945498,0.162252,,,0.492822,0.0794316,0.461092,0.0780145
10,313.107,-5.7717,183,167,1.56334,8.65767,2.24552e-15,5.97872e-16,0.0267072,0.013059,0.104674,0.0298925,0.0695118,0.0167179,0.0430609,0.00984754,,,,,0.275918,0.0578127,2.86,0.567922,0.822091,0.168299,,,0.308053,0.0579743,0.254171,0.0466367
11,313.109,-5.77243,159,154,1.9198,8.64051,2.5246e-15,3.18732e-16,,,0.130404,0.0285341,,,0.0490176,0.0107766,,,,,0.291253,0.0450233,2.86,0.258297,0.866225,0.0874093,,,0.336943,0.0385364,0.25178,0.0278234
12,313.109,-5.77082,145,183,1.22057,8.63072,1.59916e-15,2.10065e-16,0.0405565,0.0107764,0.144197,0.0205707,0.061154,0.00826078,0.0425959,0.00565019,,,0.0170895,0.00652982,0.291058,0.0333108,2.86,0.271294,0.868697,0.0916109,,,0.390594,0.0360904,0.294635,0.0271668
13,313.109,-5.76882,156,219,1.02343,8.60569,1.41671e-15,3.62358e-16,0.0586918,0.0186445,0.187542,0.047828,0.0864146,0.0202599,0.0560948,0.0122357,,,0.0187036,0.00694857,0.292767,0.0589186,2.86,0.550873,0.874665,0.172311,,,0.496348,0.111499,0.397208,0.085975
14,313.108,-5.77065,173,186,1.03899,8.65554,1.09063e-15,3.50522e-16,,,0.119355,0.0450483,0.0687387,0.0200409,0.0576479,0.0158322,,,,,0.307416,0.0707856,2.86,0.645301,0.918356,0.206395,,,0.395335,0.0833414,0.314688,0.0657797
15,313.114,-5.77676,55,76,0.891609,8.43935,3.62706e-16,5.66809e-17,0.298718,0.0519272,0.921901,0.14117,0.111563,0.0202456,0.0860314,0.0177535,,,,,0.227682,0.0293916,2.86,0.330188,0.680669,0.0815177,,,0.581236,0.0654223,0.437432,0.0520701
16,313.109,-5.77176,152,166,1.50083,8.63833,2.21755e-15,7.08875e-16,,,0.129676,0.0422369,0.0532407,0.0160238,0.0432142,0.0112717,,,,,0.282826,0.0680949,2.86,0.655326,0.842936,0.197542,,,0.336925,0.0706407,0.251135,0.0531471
18,313.105,-5.77281,230,147,1.40427,8.5595,6.73051e-16,2.28448e-16,0.107926,0.0422617,0.327867,0.10825,0.0880947,0.0281848,0.0485974,0.0144501,,,,,0.312744,0.0848671,2.86,0.722078,0.932558,0.248175,,,0.42365,0.0966818,0.318398,0.0765982
19,313.109,-5.77776,158,58,0.840325,8.44963,2.75005e-16,7.19824e-17,0.294205,0.0802496,0.870597,0.223939,0.132235,0.0323581,0.0266658,0.0114609,,,,,0.241081,0.0503504,2.86,0.533064,0.720911,0.140405,,,0.347396,0.0656594,0.210367,0.0452826
20,313.107,-5.77376,188,130,1.62052,8.65986,9.91835e-16,2.15806e-16,,,0.125569,0.0328851,0.0593224,0.0158469,0.0490525,0.0104022,,,,,0.338131,0.057759,2.86,0.464123,1.00716,0.164268,,,0.407299,0.0615638,0.312369,0.0477484
21,313.106,-5.77132,215,174,0.84416,8.60397,9.88359e-16,2.93574e-16,0.0577258,0.0211784,0.200477,0.0583328,0.0749192,0.0200498,0.0405732,0.0102228,,,,,0.307102,0.0725105,2.86,0.644486,0.918318,0.211448,,,0.425972,0.0862683,0.337856,0.0678636
22,313.106,-5.77043,215,190,1.17371,8.53215,4.11153e-16,4.93983e-17,0.115326,0.0297778,0.434633,0.0569633,0.0841355,0.0270336,0.0813531,0.0133748,,,,,0.305777,0.0300512,2.86,0.240356,0.912841,0.0782966,,,0.513697,0.0688799,0.458733,0.0724239
23,313.107,-5.77237,184,155,1.55969,8.63598,1.31e-15,3.00707e-16,,,0.145545,0.041524,0.0507563,0.0137392,0.0576541,0.0139868,,,0.0320469,0.00758943,0.310205,0.0591828,2.86,0.474087,0.924263,0.161154,,,0.390396,0.060908,0.296547,0.0473423
24,313.109,-5.76937,151,209,1.14129,8.62714,4.85032e-16,1.03054e-16,0.0714193,0.0295078,0.169212,0.0408461,0.0774622,0.0178739,0.0710709,0.0147473,,,,,0.329354,0.0552503,2.86,0.445135,0.983385,0.159567,,,0.473746,0.0861897,0.418398,0.0923789
25,313.106,-5.77259,211,151,0.975561,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,313.107,-5.77032,195,192,1.10247,8.59828,5.97333e-16,1.95352e-16,,,0.199175,0.0679429,0.111693,0.0349802,0.0630058,0.0183202,,,0.0558767,0.0245698,0.287839,0.0744061,2.86,0.697074,0.859599,0.215841,,,0.439582,0.0957962,0.377181,0.0826794
27,313.107,-5.7702,186,194,1.16903,8.6124,4.20534e-16,1.0712e-16,0.0830851,0.0355221,0.190525,0.0550428,0.0622657,0.023726,0.0718627,0.0183543,,,,,0.319079,0.0611048,2.86,0.517425,0.952576,0.173892,,,0.455707,0.0794663,0.434286,0.0755387
28,313.105,-5.77076,232,184,1.24473,8.55248,5.17813e-16,1.85642e-16,0.132064,0.051733,0.337625,0.119417,0.0845667,0.027406,0.0686304,0.0238081,,,,,0.297869,0.0808219,2.86,0.739842,0.888915,0.23546,,,0.502448,0.12234,0.444464,0.106656
29,313.11,-5.77543,133,100,1.38161,8.585,2.39185e-16,4.23484e-17,0.109954,0.0409722,0.265287,0.058113,,,0.10612,0.0229734,,,0.0780359,0.0294475,0.333508,0.0451528,2.86,0.33689,0.994586,0.120004,,,0.521181,0.0663564,0.389387,0.0529955
30,313.107,-5.77609,197,88,1.0322,8.56625,4.97538e-16,1.20044e-16,0.10757,0.032331,0.283949,0.0695147,0.0846966,0.0219558,,,0.0655104,0.015936,,,0.291052,0.0574685,2.86,0.526415,0.869501,0.165408,,,0.50888,0.0897532,0.375123,0.0677839
31,313.11,-5.77532,142,102,1.3677,8.58682,7.00259e-16,1.17047e-16,0.0500417,0.0211526,0.246607,0.0443415,0.0827609,0.019496,0.0652893,0.0129659,,,,,0.316106,0.0436456,2.86,0.349739,0.942756,0.119657,,,0.478556,0.0567647,0.331471,0.0403763
32,313.108,-5.77009,166,196,1.36845,8.6251,2.71652e-16,5.62868e-17,,,0.191636,0.055835,0.104749,0.0273774,0.122902,0.0285297,,,,,0.365798,0.0576607,2.86,0.415097,1.09096,0.159617,,,0.483967,0.0726523,0.454568,0.070916
33,313.11,-5.76859,136,223,1.14169,8.57137,3.33948e-16,7.7825e-17,0.0954571,0.0390776,0.283473,0.0715663,0.0765681,0.0254406,0.0781603,0.0189657,,,,,0.307391,0.0593345,2.86,0.479084,0.917807,0.166211,,,0.541703,0.0873543,0.447553,0.073284
