# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC3244   (249 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,156.375,-39.8373,237,8,1.07655,8.42545,4.64934e-15,1.34463e-15,0.319054,0.0901265,0.952995,0.264158,0.10331,0.0251327,0.0326365,0.00718416,0.00597092,0.00245317,0.015055,0.00392624,0.202052,0.0483229,2.86,0.61702,0.603483,0.135411,0.0256808,0.00610127,0.409718,0.0786713,0.287518,0.0551361
2,156.368,-39.8313,334,116,1.33903,8.66499,3.02013e-15,4.96015e-16,0.0382675,0.00956656,0.125079,0.0211997,0.0674267,0.0117475,0.0568338,0.011355,,,0.01746,0.00334155,0.353255,0.0469463,2.86,0.362233,1.0537,0.134464,0.0157653,0.00409054,0.369239,0.0461013,0.27816,0.0353293
3,156.37,-39.8225,308,274,1.42594,8.62389,4.04126e-15,6.95267e-16,0.0484231,0.0115638,0.169814,0.0294001,0.0783695,0.0136614,0.0326374,0.00627347,,,0.0156103,0.00334292,0.320256,0.0465679,2.86,0.379691,0.954854,0.131463,0.0185774,0.00335813,0.365537,0.0448357,0.262578,0.0317035
4,156.357,-39.8312,482,118,1.05543,8.42702,1.82583e-15,1.57705e-16,0.312303,0.0274944,0.927544,0.0767472,0.101483,0.0116071,0.0302905,0.00496211,,,0.0105932,0.00248658,0.200043,0.0246843,2.86,0.185662,0.597548,0.047028,0.0291041,0.0043106,0.322815,0.0223869,0.224662,0.0146728
5,156.374,-39.8373,249,8,0.726043,8.44877,2.46421e-15,5.19226e-16,0.265562,0.0549686,0.785278,0.158722,0.112451,0.0195971,0.0396369,0.00723029,,,0.0127077,0.00286374,0.215246,0.0372976,2.86,0.447839,0.644027,0.105277,0.0279028,0.00556747,0.46364,0.0664453,0.320892,0.0461367
6,156.371,-39.8348,291,54,1.3395,,6.60565e-14,2.41256e-14,,,,,,,,,0.0400189,0.0186177,,,,,0.824068,0.291941,,,,,0.0489373,0.0172582,,
7,156.367,-39.8255,353,221,1.39721,8.65348,5.3759e-15,9.65164e-16,0.024237,0.00812514,0.104456,0.0198932,0.0729777,0.0181451,0.0266469,0.00573045,,,0.0107878,0.00255908,0.264191,0.0375276,2.86,0.363554,0.787808,0.102061,0.015757,0.00346454,0.312868,0.0387953,0.2231,0.027532
8,156.369,-39.8208,315,305,1.48803,8.6081,3.84488e-15,7.33757e-16,0.0534034,0.0112609,0.182173,0.0341241,0.0798674,0.0131809,0.0476045,0.00831817,,,0.0163585,0.00312053,0.292283,0.0490242,2.86,0.421385,0.871178,0.128366,0.0188143,0.00448699,0.469889,0.0673828,0.329458,0.0485645
9,156.371,-39.8211,300,299,1.9461,8.58161,6.57255e-15,2.06694e-15,0.073813,0.023379,0.232168,0.0703039,0.0788027,0.0199837,0.0400364,0.00986095,,,0.016219,0.00399226,0.282266,0.0757774,2.86,0.689089,0.839386,0.209669,0.0208912,0.00573481,0.401231,0.0862649,0.280071,0.0603531
10,156.368,-39.8323,332,98,1.9763,8.62134,2.8036e-15,9.83284e-16,,,0.159118,0.055957,0.05312,0.0179924,,,0.0638809,0.0274021,0.0199142,0.00681738,0.29322,0.0828745,2.86,0.747807,0.871826,0.239705,0.0109378,0.00501068,0.392211,0.092675,0.281868,0.0666206
