# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC4809   (245 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,193.711,2.63721,273.5,224.5,0.202683,7.96019,1.11758e-14,2.50009e-15,1.7007,0.369385,5.00994,1.07255,0.0627736,0.0153342,0.0206873,0.00384495,0.0172767,0.0033862,0.00810971,0.00225815,,,2.86,0.491044,0.0802475,0.0207011,0.0295341,0.00517025,0.125531,0.0197669,0.0920796,0.0141904
2,193.712,2.65418,250,530,0.272473,8.06118,3.76081e-15,8.54156e-16,1.37831,0.304581,4.0623,0.885786,,,0.0321505,0.00582594,0.0128397,0.00263708,0.0123138,0.00237924,0.0312084,0.0114318,2.28697,0.427844,0.0935904,0.0231775,0.0245564,0.00428943,0.215329,0.0339183,0.148858,0.0233663
3,193.711,2.65123,276,477,0.0992239,8.27566,5.38557e-15,6.55793e-16,0.516115,0.0611737,1.55542,0.182256,,,0.070904,0.00703256,0.0106208,0.00164109,0.0258424,0.00270303,0.0734931,0.0118753,2.86,0.230739,0.22059,0.0214131,0.0242087,0.00331931,0.47029,0.0385987,0.329468,0.0267488
4,193.713,2.64462,243,358,0.13838,8.16689,2.23086e-15,1.99882e-16,0.909539,0.0795975,2.70099,0.232198,,,0.0916847,0.00997198,0.0123372,0.00320628,0.0303767,0.00329493,0.0530228,0.00815533,2.86,0.194559,0.159117,0.0148618,0.0259578,0.00796452,0.410454,0.0581872,0.284362,0.0370184
5,193.708,2.64796,331,418,0.219265,8.17547,1.5551e-15,1.83741e-16,0.835973,0.0960787,2.48484,0.281144,0.0541834,0.00750916,0.0522628,0.00490486,0.0136259,0.00236227,0.0186648,0.00286283,0.0520027,0.00954968,2.86,0.240097,0.155992,0.016787,0.0280135,0.00307175,0.328098,0.0268536,0.22696,0.0183807
6,193.712,2.65368,249,521,0.140619,8.11477,4.21369e-15,4.70573e-16,1.18351,0.128047,3.5049,0.3741,0.0117881,0.0043927,0.0400476,0.00586759,0.0139683,0.00232045,0.0145124,0.00160627,0.0476489,0.00711746,2.86,0.229514,0.142989,0.0149252,0.0281633,0.00390743,0.271113,0.023184,0.188925,0.0160751
7,193.714,2.6544,226,534,0.0783196,8.15849,1.1472e-14,2.86498e-15,1.07161,0.259348,3.18826,0.757557,,,0.0430825,0.00769271,0.0144381,0.00275249,0.0151403,0.00278574,0.0588482,0.0243318,2.86,0.491158,0.176652,0.0399095,0.0289186,0.00640426,0.287604,0.0495586,0.201014,0.0337809
8,193.712,2.65023,256,459,0.372,8.18141,2.59191e-15,3.03883e-16,0.792221,0.090627,2.36258,0.265837,0.0314136,0.00380891,0.0725264,0.00880373,0.0104787,0.00219057,0.0233745,0.00307686,0.0517332,0.0113327,2.86,0.25862,0.155064,0.0194593,0.0242601,0.00407348,0.344719,0.0341074,0.242804,0.0234901
9,193.712,2.65334,255,515,0.165218,8.18632,5.18208e-15,1.34664e-15,0.890787,0.2246,2.66153,0.660075,0.0151105,0.0071257,0.0646797,0.0129516,0.0125252,0.00291067,0.0223134,0.0041879,0.0604242,0.0202511,2.86,0.554285,0.181303,0.0445384,0.0282729,0.00629236,0.38191,0.0652308,0.26446,0.0453683
10,193.72,2.65629,118,568,0.202058,8.10414,1.06937e-15,3.14575e-16,1.12172,0.31984,3.29858,0.926125,,,0.0444078,0.00974911,0.0130058,0.00397262,0.011556,0.00322408,,,2.86,0.651308,0.125313,0.040892,0.026884,0.00589223,0.246721,0.0465466,0.173073,0.0328179
11,193.714,2.63857,224,249,0.104137,8.09178,3.27994e-15,5.24032e-16,1.19965,0.186003,3.5615,0.543588,0.0563334,0.00971346,0.0464225,0.00603265,0.0175755,0.00389173,0.01667,0.00318925,0.0415535,0.0136543,2.86,0.354149,0.12472,0.0242973,0.0269529,0.00428302,0.282072,0.0309473,0.199483,0.0216287
12,193.71,2.63829,288,244,0.243214,8.09593,1.07838e-15,2.56325e-16,1.05529,0.243262,3.18024,0.721347,0.055797,0.0108188,0.0430589,0.00859285,0.0160508,0.00581548,0.0190285,0.00666637,,,2.86,0.49203,0.114434,0.0356572,0.0280316,0.00530016,0.232219,0.0361332,0.165964,0.0256672
13,193.709,2.65068,301,467,0.227195,8.14462,1.65971e-15,1.62257e-16,0.977632,0.0930121,2.93573,0.274368,,,0.0567827,0.00575808,0.0158081,0.00294282,0.0209324,0.00285549,0.0490949,0.012151,2.86,0.205433,0.147264,0.016973,0.0258876,0.00403998,0.288447,0.0281587,0.20244,0.0221199
14,193.713,2.64434,237,353,0.234729,8.06208,7.26934e-15,1.19142e-15,1.33347,0.211054,3.9764,0.619285,0.0568696,0.0125912,0.0572619,0.00874083,0.0170543,0.00317823,0.0186044,0.00278645,0.038409,0.0128523,2.86,0.347695,0.115206,0.0211598,0.0268068,0.00429594,0.255405,0.0349476,0.175939,0.0249978
15,193.705,2.64901,385,437,0.0830226,8.12426,8.44481e-16,2.19364e-16,0.922502,0.231686,2.80346,0.691027,,,0.0570578,0.0113065,0.00979922,0.00398932,0.0168243,0.00491378,0.0406451,0.0166781,2.86,0.583455,0.122006,0.0337845,0.0287026,0.00640778,0.292101,0.0483465,0.203459,0.0335791
16,193.715,2.63918,208,260,0.108396,8.23563,1.54567e-15,1.60996e-16,0.558672,0.0570778,1.7109,0.17055,0.0594194,0.00748024,0.0795251,0.00819152,0.0170505,0.00365287,0.0358644,0.00502688,0.0573948,0.0114883,2.86,0.23237,0.172263,0.0210117,0.0230374,0.00315218,0.418175,0.0295741,0.296576,0.0209554
17,193.714,2.65312,222,511,0.159459,8.16975,3.35474e-15,7.97788e-16,0.995155,0.229572,2.99752,0.680952,,,0.0703601,0.0129784,0.0130376,0.00308427,0.0242217,0.00449443,0.0601045,0.0243293,2.86,0.531887,0.180349,0.045183,0.0293343,0.00517331,0.38412,0.0593146,0.266512,0.040991
18,193.717,2.65173,173,486,0.272473,8.27465,2.12249e-16,4.83194e-17,0.485115,0.108113,1.42087,0.311477,,,0.0824814,0.0151476,,,0.040701,0.0110811,0.0607812,0.0135239,2.61016,0.435899,0.182276,0.0322595,0.0233535,0.00640207,0.412015,0.0639334,0.285599,0.0444386
19,193.712,2.63496,261,184,0.272473,8.12644,1.35291e-15,3.05812e-16,0.971014,0.213719,2.84766,0.618801,0.0544685,0.0149153,0.0337844,0.00742977,0.018939,0.00532481,0.0146799,0.00327723,,,2.54172,0.442426,0.111807,0.0300525,0.0279401,0.00503224,0.238246,0.0374135,0.166883,0.0260989
20,193.705,2.64829,373,424,0.440732,8.05701,1.68718e-15,2.76665e-16,1.28596,0.204938,3.85012,0.604355,,,0.0704287,0.0121591,,,0.0239174,0.00658314,,,2.86,0.353556,0.108085,0.0253157,0.0241319,0.00405241,0.315724,0.0354797,0.217967,0.0248339
21,193.713,2.65451,243,536,0.11398,8.01082,8.78877e-15,1.99789e-15,1.54942,0.341005,4.66635,1.01184,0.0108405,0.00445191,0.0301782,0.00512956,0.0183753,0.00309976,0.00935319,0.00184311,0.0330891,0.0119229,2.86,0.508149,0.0993098,0.0247798,0.0312997,0.00556886,0.183291,0.0293772,0.129073,0.0207572
