# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: ESO584-7   (128 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,243.218,-21.6263,246,160,1.22848,8.37315,3.51409e-15,7.13852e-16,0.526624,0.104103,1.58887,0.308871,0.111413,0.0194202,,,0.0556082,0.00946458,0.0194294,0.00414572,0.192744,0.0319623,2.86,0.443703,0.575244,0.0897502,0.0344596,0.00566492,0.336849,0.0463971,0.241707,0.0333443
2,243.225,-21.6182,122,307,1.88255,8.31949,4.70029e-15,1.11727e-15,0.787237,0.18216,2.39982,0.546867,0.107417,0.0223082,0.0459291,0.00966855,,,0.0241202,0.00631693,0.171228,0.0366281,2.86,0.519583,0.509349,0.102903,0.0333513,0.00704858,0.293825,0.0480107,0.211086,0.0347336
3,243.22,-21.6199,216,276,1.85207,8.52651,6.33245e-15,2.65071e-16,0.140606,0.00897105,0.434831,0.0191383,0.100598,0.0058234,0.0451718,0.00256811,0.00594923,0.00211899,0.0157016,0.00315816,0.288145,0.0225733,2.86,0.0855869,0.857272,0.0353543,0.0258137,0.00357266,0.380557,0.0184476,0.27079,0.013887
5,243.227,-21.6228,100,224,1.54554,8.5019,6.41909e-15,9.71429e-16,0.188975,0.0286444,0.563842,0.0819765,0.103153,0.0143179,0.0430374,0.00659973,,,0.0139615,0.00269301,0.282628,0.0406436,2.86,0.327956,0.842156,0.10226,0.0246506,0.00607087,0.406708,0.0506987,0.281081,0.0352924
6,243.218,-21.6231,244,218,1.39051,8.45709,2.22691e-15,6.16368e-16,0.285038,0.0784704,0.845262,0.223817,0.099195,0.0228624,0.0401931,0.00992135,,,0.0193547,0.0061848,0.255174,0.0564375,2.86,0.586044,0.760946,0.159348,0.0251258,0.00696998,0.331342,0.0620245,0.225726,0.0423286
7,243.227,-21.6213,100,250,1.8002,8.45957,8.16972e-15,9.44539e-16,0.286586,0.0325949,0.879068,0.0976451,0.100249,0.00990036,0.0587202,0.00681902,0.00509282,0.00177162,0.0240803,0.00360134,0.273452,0.0264784,2.86,0.236863,0.813772,0.0721937,0.0237996,0.00382964,0.4202,0.0323332,0.300852,0.0233953
8,243.23,-21.6224,44,231,1.24518,8.37269,1.06588e-15,1.537e-16,0.505772,0.0729953,1.55461,0.214507,0.115674,0.0155208,0.062178,0.00919042,,,0.0352058,0.0105432,0.18771,0.0232039,2.86,0.306417,0.560172,0.0639453,0.0221001,0.00696,0.384844,0.041186,0.269729,0.0306406
9,243.219,-21.6241,219,200,1.76824,8.57342,5.90621e-15,2.62071e-16,0.0959198,0.00890757,0.281674,0.0141655,0.0879185,0.00657809,0.0340262,0.0033991,,,0.0142033,0.00308574,0.313267,0.0287046,2.86,0.0918294,0.932407,0.0394476,0.0176975,0.00361833,0.380511,0.0229355,0.263724,0.0162597
10,243.224,-21.619,137,291,1.93245,8.49223,5.42925e-16,9.18037e-17,0.211577,0.0570281,0.644429,0.111873,0.099303,0.0223409,0.083321,0.01736,,,,,0.290103,0.0376094,2.86,0.321296,0.862749,0.0987983,,,0.497544,0.0595862,0.341791,0.0444097
11,243.224,-21.6179,145,312,1.64379,8.47093,2.42746e-15,2.10874e-16,0.265631,0.026516,0.759887,0.0643693,0.0852004,0.0130332,0.0688364,0.00948706,,,0.019425,0.00395023,0.268432,0.0233182,2.86,0.182578,0.799461,0.0559684,0.0237984,0.00510655,0.483407,0.0290746,0.334133,0.0205797
